hot_diggity_d, honestly would ive seen first hand effect drugs alcohol depression
seethingswedo, youtube red actually nice really dont funds pay 11 depression coming soon one month free ends ladies
enbygrlhope, honestly without depression would problem support situation liv  im going stuff depression hey lets think future scared want  random people depression therapy group normal sense medical personnel fri  come therapy group tomorrow first time tell normal people needless say im scared  could yes color hair dont want stress even
pxachmochi, crippling depression
siorhian, post show depression  even stress ive bearing know end day ive got good thing come home  dont stress got okaaaaay heart mine slow  never ever properly express love pride la voce stress worth end heres  didnt put handprint wall nothing every ounce pain stress worth end day
cataxista, would getting mini tree decorations help depression constant reminder holid  temporarily soothe depression cucumber margarita chips amp salsa  anyone wants share reliable info personal anecdote microdosing anxiety im ears
beboldman, sure suicide maybe
JennJefferys, problem prescription psychiatric medication clinical depression
val19894, anxiety depression stigma im huge advocate thank means lot  thank guys kind words depression crippling times means lot know people care  one reasons stream well helps anxiety  thank yeah depression isnt fun tend close people depressed smart thing  december bad month depression anxiety dont care hitting pretty hard could use good thoughts
luizamircovich, literally one yeah really bad anxiety depression
S0ulfulG0ddess, common people chronic depression worsening moods christmas time makes se  ive tried many meds past hit miss works helps anxiety  needa drink away anxiety hate coming sober help many people omg  anxiety weird like afraid normal things like answer door make phone calls go appoi  im shook didnt bpd breakdown guy gone ghost say id date  seems job push people suicide another less person deal fucking useless lot xx  saw amazon researching bpd books im gonna get  class bpd different person living inside feel lot time person rather  lot others bpd go periods numbness towards people ie bein  question people bpd honestly feel things people example someone close
reannemations, okay yall want die life beautiful live god gave us depression
LexieP86, argh people learn springing sudden huge changes plan aspie recipe anxiety  know found way depression 14 latest bout depression provin  im trying hun need lot input psychology ongoing basis get back
acidulication, hi eddy youre amazing eddy advice anxiety severe depression eddy cant stand  ye good hehe didnt steal anything stress anything uwu
lulbabybrax, love art amp modeling much never thought id get back falling depression deep
ImbiLoL, someone worst period depression year also ill say youll make throu  ptsd
wasteIandbaby, im gonna ask everyone get christmas way ill several defeat depression
Coach_Benj, seasonal depression let clarify brownsseason depression
limiteIess, hows life ok home hmm serious anxiety depression
destev01, robs gonna happy comes home dishes us depression ignoring
pamelajoon, usually nervous attacks also went ugly stage depression ca  yo se los dije yo sabía ya se nos viene el desmadre bts  te extrañaba tanto donde estabas bts  btw ilu lt3 pcas bts thesong idol  incredible announced like ppl shall know limits disappointing bts  bts mpn btsarmy  las 3am viendo vídeos memes de lytourindr2019 bts iheartradiommvas lytourindr2019  bts lytourindr2019  que jeviiiii bts lytourindr2019  esa voy ser yo en uno meses si utede ayudan con el lytourindr2019 ht lystreamingparty bts lytourindr2019  rtweer bts coming dr lytourindr2019 lytourindr2019  traiganos bts ya ta bueno del alfa ozuna maluma ya tiempo de trae
Jayy_MC, much anxiety today please send much alcohol funnel throat thanks
ebilmeeki, know like shadow depression clinging like 500 lb weight fear  truly glad first suicide attempt 20 last one recent  im recovering trauma im raising transgender child one bigoted sta  rape almost 20 years ago still suffer ptsd social anxiety depression always  doesnt scream ptsd ptsd would leaving right happened longer
scarbear_, moment told something hurts someones feelings literally kind anxiety depression  try make something balanced clean people call ocd like want ever
rainbowovermeg, going depression also play orchestra concert today know im gonna panic attac  well emo phase depressed little shit oops god bless surviving  balancing finishing homework dealing anxiety
lightthouses, adaptação para minha pessoa crush depression autobiography  sei la jeito alguns fãs de bts diminuem pop ocidental eh diferente
choklityum, veterans arent ones suffering ptsd im trying minimize effects affec  definitely deal depression anxiety ptsd along  already dealing depression anxiety ptsd migraines
whitesideskiwi, would mean happiness everything suffering depression draining every  depressed asf relate dm need anything
thekathleent, undersell feelings depression also ok loved minute let int  fun thing body depressed brain anxious dont notice brain  thought depressed realized time feeling get overwhelme  oh wait one thing youve depressed depressed considered suicide deservin
Codycar08689482, adhd aspergers syndrome anxiety undiagnosed bipolar behavior dispite disorder opposition  muppet jump 100 story window kermit suicide
Vanna5960, depressed mode deserves honorable mention lol blasphemous rumors personal jesus im big fan blasphemy  narcissists know narcissists psychology today
_Born2BeFree, anxiety depression really high people kidnapped florida left right already dialys
BobTheBobCatt, anxiety aspergers amp depression symptoms havent diagnosed yet seeing therapi  fact males commit suicide 35x females prove hide due society tell  yeah anxiety time
kvz93, source anxiety tbh
AmyDresner, talk book take drug alcohol addiction  agree addiction addiction tweeted science recently  struggle addiction sex love porn highly recommend give listen read aloud pub  oh sure addiction result depression selfmedicating etc
AlexisKampe, get point trying make school causes people stress time time stress
thomnook, depression sucks im thick feels like every tiny interaction intentional ac  depression really came today like bitch relax
Nizzy_RS, sacrificed mentalemotional wellbeing years im still suffering consequences
_zackkw, depression nap time bc people dont sense need get away bullshit
SimplyComplexx_, mfs want anxiety depression sitting closet hiding life really hate mine
AsabeaArreaga, didnt know going asked anxiety depression
SIDE__GRAY, im sorry followers ive ever bitch reason act like cuz depression makes  thought yea im really nice person cuz depression im ass times  honestly im like sad depressed time nooooooo jess made worse  um anyone want dm sad depressed bitch
mvlktea, mom always said everyone would hate would scared found depression anxiety  today opened depression social anxiety older sister talked problems
SelestedeLaney, surprises anyone havent paying attention teens life suffer depression
all_2crazed, would rather mother depressed child push away mother take day two  ton pregnant friends recently one things weve discussing depression  waiting roasts asking therapy
TSR_Centurus, ive fighting lot depression long time  hate holiday season much depression
RagingClaw, thread life read dont know explain struggles depression suicidal thou  talk gambling addiction late
TheLizLincoln, missa diagnosed right 2nd grade nephew clearly adhd diagnosed
ugw90s, id anything naturally skinny deal ed depression literally id anything  minding business depression decided remind exists  im depressed urges bp overwhelming hate fucking much  im jealous people whove never experience depression eating disorder generally  googled bpd symptoms fit like kinda makes lot sense im also terrified diagnosed fuck  literally depressed bc im restricting working still cant seem drop weight idk  need stop weighing every single day making depressed triggers much cant help  im really sick letting depression control im gonna try best get work done de  kind days favourite especially long periods depressed unproductive
toewgmo, im lik depression hungry thats rly fuckin ke bc lot woek weekend die
