hot_diggity_d,"['drugs', 'alcohol', 'seen', 'effect', 'honestly', 'hand', 'first', 'would', 'ive', 'depression']"
seethingswedo,"['funds', 'ladies', 'youtube', '11', 'pay', 'soon', 'nice', 'free', 'coming', 'month', 'actually', 'ends', 'red', 'really', 'dont', 'one', 'depression']"
enbygrlhope,"['personnel', 'needless', 'scared', 'color', 'normal', 'group', 'random', 'medical', 'future', 'situation', 'sense', 'hair', 'stuff', 'honestly', 'lets', 'tomorrow', 'support', 'without', 'problem', 'hey', 'first', 'therapy', 'yes', 'want', 'could', 'tell', 'liv', 'come', 'would', 'people', 'fri', 'going', 'say', 'even', 'think', 'stress', 'time', 'dont', 'im', 'depression']"
pxachmochi,"['crippling', 'depression']"
siorhian,"['bearing', 'okaaaaay', 'voce', 'handprint', 'pride', 'properly', 'ounce', 'worth', 'wall', 'express', 'slow', 'mine', 'heart', 'nothing', 'home', 'put', 'pain', 'heres', 'show', 'stress', 'got', 'didnt', 'post', 'end', 'come', 'never', 'good', 'even', 'love', 'every', 'day', 'know', 'ive', 'dont', 'thing', 'ever', 'la', 'depression']"
cataxista,"['cucumber', 'margarita', 'salsa', 'anecdote', 'decorations', 'chips', 'reliable', 'temporarily', 'soothe', 'microdosing', 'tree', 'reminder', 'info', 'wants', 'mini', 'constant', 'holid', 'share', 'personal', 'anyone', 'getting', 'ears', 'would', 'amp', 'help', 'anxiety', 'im', 'depression']"
beboldman,"['maybe', 'sure', 'suicide']"
JennJefferys,"['psychiatric', 'prescription', 'medication', 'clinical', 'problem', 'depression']"
val19894,"['advocate', 'december', 'smart', 'means', 'hitting', 'stream', 'huge', 'reasons', 'words', 'close', 'guys', 'care', 'helps', 'tend', 'thank', 'pretty', 'crippling', 'lot', 'yeah', 'thoughts', 'isnt', 'stigma', 'kind', 'month', 'fun', 'could', 'times', 'hard', 'well', 'bad', 'people', 'good', 'know', 'use', 'depressed', 'dont', 'anxiety', 'thing', 'one', 'im', 'depression']"
luizamircovich,"['yeah', 'literally', 'bad', 'really', 'one', 'anxiety', 'depression']"
S0ulfulG0ddess,"['needa', 'researching', 'bpd', 'worsening', 'amazon', 'numbness', 'shook', 'ghost', 'sober', 'periods', 'calls', 'useless', 'example', 'xx', 'moods', 'door', 'breakdown', 'towards', 'inside', 'books', 'afraid', 'rather', 'answer', 'push', 'works', 'common', 'christmas', 'seems', 'omg', 'appoi', 'date', 'close', 'drink', 'saw', 'person', 'phone', 'weird', 'gone', 'question', 'bein', 'class', 'tried', 'normal', 'lot', 'chronic', 'job', 'helps', 'different', 'honestly', 'meds']"
reannemations,"['beautiful', 'gave', 'yall', 'god', 'okay', 'die', 'live', 'want', 'life', 'us', 'depression']"
LexieP86,"['argh', 'springing', 'input', 'aspie', 'recipe', 'ongoing', 'basis', 'provin', 'latest', 'changes', 'sudden', '14', 'huge', 'hun', 'bout', 'plan', 'found', 'learn', 'psychology', 'trying', 'lot', 'back', 'need', 'people', 'way', 'know', 'get', 'anxiety', 'im', 'depression']"
acidulication,"['eddy', 'steal', 'hehe', 'uwu', 'advice', 'anything', 'amazing', 'severe', 'stand', 'didnt', 'youre', 'good', 'cant', 'stress', 'ye', 'anxiety', 'hi', 'depression']"
lulbabybrax,"['modeling', 'falling', 'deep', 'thought', 'back', 'never', 'much', 'amp', 'love', 'art', 'get', 'id', 'depression']"
ImbiLoL,"['throu', 'youll', 'period', 'worst', 'ptsd', 'someone', 'also', 'say', 'make', 'year', 'ill', 'depression']"
wasteIandbaby,"['defeat', 'several', 'christmas', 'ask', 'everyone', 'gonna', 'way', 'ill', 'get', 'im', 'depression']"
Coach_Benj,"['brownsseason', 'clarify', 'seasonal', 'let', 'depression']"
limiteIess,"['hmm', 'hows', 'serious', 'home', 'life', 'ok', 'anxiety', 'depression']"
destev01,"['robs', 'dishes', 'ignoring', 'comes', 'home', 'happy', 'gonna', 'us', 'depression']"
pamelajoon,"['lytourindr2019', 'dije', 'sabía', 'viene', 'desmadre', 'extrañaba', 'donde', 'estabas', 'pcas', 'thesong', 'mpn', 'vídeos', 'iheartradiommvas', 'jeviiiii', 'voy', 'meses', 'utede', 'ayudan', 'lystreamingparty', 'rtweer', 'traiganos', 'maluma', 'tiempo', 'trae', 'tanto', 'announced', 'viendo', 'bueno', 'alfa', 'ozuna', 'limits', 'disappointing', 'shall', 'btsarmy', 'uno', '3am', 'incredible', 'lt3', 'esa', 'memes', 'bts', 'ilu', 'btw', 'nervous', 'ugly', 'idol', 'usually', 'stage', 'del', 'ya']"
Jayy_MC,"['funnel', 'throat', 'send', 'alcohol', 'thanks', 'please', 'much', 'today', 'anxiety']"
ebilmeeki,"['bigoted', 'clinging', 'transgender', 'shadow', '500', 'recovering', 'raising', 'rape', 'leaving', 'scream', 'happened', 'truly', 'longer', 'ptsd', 'weight', 'recent', 'attempt', 'fear', '20', 'glad', 'almost', 'lb', 'ago', 'child', 'social', 'first', 'doesnt', 'last', 'trauma', 'right', 'years', 'always', 'suffer', 'would', 'still', 'suicide', 'like', 'know', 'sta', 'one', 'anxiety', 'im', 'depression']"
scarbear_,"['balanced', 'someones', 'hurts', 'clean', 'feelings', 'moment', 'something', 'ocd', 'told', 'kind', 'literally', 'call', 'try', 'make', 'want', 'people', 'like', 'ever', 'anxiety', 'depression']"
rainbowovermeg,"['orchestra', 'balancing', 'finishing', 'surviving', 'oops', 'phase', 'homework', 'bless', 'concert', 'panic', 'dealing', 'little', 'play', 'god', 'gonna', 'attac', 'emo', 'shit', 'also', 'well', 'today', 'going', 'know', 'depressed', 'anxiety', 'im', 'depression']"
lightthouses,"['adaptação', 'pessoa', 'jeito', 'alguns', 'diminuem', 'ocidental', 'diferente', 'minha', 'fãs', 'autobiography', 'sei', 'crush', 'para', 'pop', 'eh', 'bts', 'la', 'depression', 'de']"
choklityum,"['minimize', 'migraines', 'veterans', 'effects', 'along', 'ptsd', 'definitely', 'affec', 'suffering', 'dealing', 'already', 'arent', 'trying', 'ones', 'deal', 'anxiety', 'im', 'depression']"
whitesideskiwi,"['asf', 'draining', 'happiness', 'relate', 'suffering', 'dm', 'everything', 'anything', 'mean', 'would', 'need', 'every', 'depressed', 'depression']"
thekathleent,"['undersell', 'deservin', 'considered', 'overwhelme', 'notice', 'realized', 'brain', 'youve', 'feelings', 'loved', 'anxious', 'minute', 'wait', 'body', 'oh', 'fun', 'thought', 'feeling', 'depressed', 'also', 'let', 'suicide', 'int', 'thing', 'time', 'ok', 'get', 'dont', 'one', 'depression']"
Codycar08689482,"['dispite', 'muppet', 'opposition', 'kermit', 'undiagnosed', 'aspergers', 'window', 'syndrome', 'jump', 'behavior', '100', 'story', 'adhd', 'disorder', 'bipolar', 'suicide', 'anxiety']"
Vanna5960,"['narcissists', 'honorable', 'blasphemous', 'rumors', 'blasphemy', 'deserves', 'jesus', 'mode', 'mention', 'fan', 'personal', 'psychology', 'lol', 'big', 'today', 'know', 'depressed', 'im']"
_Born2BeFree,"['kidnapped', 'florida', 'dialys', 'left', 'already', 'high', 'right', 'really', 'people', 'anxiety', 'depression']"
BobTheBobCatt,"['35x', 'females', 'males', 'aspergers', 'society', 'hide', 'prove', 'seeing', 'symptoms', 'yet', 'therapi', 'due', 'commit', 'diagnosed', 'havent', 'fact', 'yeah', 'tell', 'amp', 'suicide', 'time', 'anxiety', 'depression']"
kvz93,"['source', 'tbh', 'anxiety']"
AmyDresner,"['selfmedicating', 'aloud', 'porn', 'tweeted', 'addiction', 'highly', 'science', 'recommend', 'result', 'pub', 'etc', 'recently', 'alcohol', 'drug', 'agree', 'sex', 'book', 'listen', 'struggle', 'sure', 'oh', 'give', 'take', 'talk', 'read', 'love', 'depression']"
AlexisKampe,"['causes', 'school', 'point', 'trying', 'stress', 'time', 'make', 'people', 'get']"
thomnook,"['thick', 'intentional', 'interaction', 'tiny', 'relax', 'feels', 'came', 'bitch', 'sucks', 'today', 'every', 'really', 'like', 'ac', 'im', 'depression']"
