Sibusiso_Mtambo,"['mighty', 'jesus', 'tonight', 'broken', 'pray', 'name', 'family', 'mental', 'every', 'depression']"
GamesThey,"['white', 'committed', 'buggery', 'pale', 'crazed', 'unhinged', 'lesions', '123', 'whites', 'typed', 'scribbled', 'scribbling', 'helping', 'depressing', 'males', 'shouldnt', 'smoking', 'youve', 'drugs', 'knowing', 'sun', 'male', 'away', 'meds', 'hour', 'many', 'hope', 'child', 'commit', 'comm', 'suicide', 'fr', 'every', 'peopl', 'men', 'depression', 'go', 'depressed', 'im']"
MillennialStar1,"['presidents', 'reliever', 'recent', 'hall', 'video', 'heres', 'hey', 'person', 'use', 'like', 'anxiety']"
sophiewinston17,"['contradicting', 'disrespectful', 'verbal', 'yet', 'another', 'tweet', 'stop', 'also', 'see', 'abuse', 'real', 'thing']"
SayVictoria,"['praying', 'california', 'lives', 'suffering', 'lost', 'depression']"
zeiavalencia,"['kaya', 'yung', 'extremes', 'rejecting', 'overly', 'accepting', 'nakikita', 'root', 'nawawala', 'cheated', 'younger', 'talaga', 'dare', 'sympathy', 'older', 'dude', 'lightly', 'place', 'stigma', 'two', 'lack', 'first', 'cause', 'ko', 'ask', 'awareness', 'may', 'trauma', 'people', 'take', 'rin', 'talk', 'pa', 'na', 'ol', 'one', 'di']"
kyloxbri,['abuse']
lilbabyhyna,"['verdict', 'ultimate', 'gemini', 'imma', 'earls', 'album', 'definitely', 'cannot', 'listen', 'social', 'enough', 'giving', 'cry', 'adhd', 'new', 'lot', 'much', 'take', 'really', 'stress', 'get', 'anxiety']"
lussowo,"['voodoo', 'stones', 'vape', 'bangs', 'deals', 'reeeeally', 'kicked', 'notch', 'heavy', 'filling', 'doll', 'store', '50', 'snow', 'announce', 'cried', 'fallen', 'friday', 'asking', 'symptom', 'found', 'black', 'season', 'cut', 'thinking', 'miss', 'thank', 'got', 'feeling', 'today', 'someone', 'want', 'therapy', 'like', 'depression', 'anxiety', 'depressed', 'id']"
CaraGrayling,"['appointment', 'rotting', 'deeply', 'functioning', 'parasites', 'desperately', 'held', 'reschedule', '9am', 'remains', 'target', 'wash', 'prospective', 'safe', 'gt', 'taken', 'todays', 'constantly', 'severely', 'physically', 'online', 'future', 'away', 'lets', 'physical', 'issues', 'sent', 'nothing', 'sleep', 'disorder', 'hope', 'could', 'hard', 'also', 'someone', 'health', 'make', 'thoug', 'abuse', 'dont', 'depressed', 'im']"
m3tamorph0ses,"['regard', 'rather', 'others', 'wellbeing', 'much', 'care', 'dont']"
LegendOfFae,"['donations', 'kiss', 'wednesday', 'lifeline', 'laying', 'birthday', 'national', 'gone', 'girls', 'instead', 'chest', 'move', 'entire', 'asking', 'coming', 'pretty', 'prevention', 'cat', 'cant', 'ass', 'want', 'eat', 'depression', 'like', 'suicide']"
