hot_diggity_d, honestly would ive seen first hand effect drugs alcohol depression
seethingswedo, youtube red actually nice really dont funds pay 11 depression coming soon one month free ends ladies
enbygrlhope, honestly without depression would problem support situation liv
enbygrlhope, im going stuff depression hey lets think future scared want
enbygrlhope, random people depression therapy group normal sense medical personnel fri
enbygrlhope, come therapy group tomorrow first time tell normal people needless say im scared
enbygrlhope, could yes color hair dont want stress even
pxachmochi, crippling depression
siorhian, post show depression
siorhian, even stress ive bearing know end day ive got good thing come home
siorhian, dont stress got okaaaaay heart mine slow
siorhian, never ever properly express love pride la voce stress worth end heres
siorhian, didnt put handprint wall nothing every ounce pain stress worth end day
cataxista, would getting mini tree decorations help depression constant reminder holid
cataxista, temporarily soothe depression cucumber margarita chips amp salsa
cataxista, anyone wants share reliable info personal anecdote microdosing anxiety im ears
beboldman, sure suicide maybe
JennJefferys, problem prescription psychiatric medication clinical depression
val19894, anxiety depression stigma im huge advocate thank means lot
val19894, thank guys kind words depression crippling times means lot know people care
val19894, one reasons stream well helps anxiety
val19894, thank yeah depression isnt fun tend close people depressed smart thing
val19894, december bad month depression anxiety dont care hitting pretty hard could use good thoughts
luizamircovich, literally one yeah really bad anxiety depression
S0ulfulG0ddess, common people chronic depression worsening moods christmas time makes se
S0ulfulG0ddess, ive tried many meds past hit miss works helps anxiety
S0ulfulG0ddess, needa drink away anxiety hate coming sober help many people omg
S0ulfulG0ddess, anxiety weird like afraid normal things like answer door make phone calls go appoi
S0ulfulG0ddess, im shook didnt bpd breakdown guy gone ghost say id date
S0ulfulG0ddess, seems job push people suicide another less person deal fucking useless lot xx
S0ulfulG0ddess, saw amazon researching bpd books im gonna get
S0ulfulG0ddess, class bpd different person living inside feel lot time person rather
S0ulfulG0ddess, lot others bpd go periods numbness towards people ie bein
S0ulfulG0ddess, question people bpd honestly feel things people example someone close
reannemations, okay yall want die life beautiful live god gave us depression
LexieP86, argh people learn springing sudden huge changes plan aspie recipe anxiety
LexieP86, know found way depression 14 latest bout depression provin
LexieP86, im trying hun need lot input psychology ongoing basis get back
acidulication, hi eddy youre amazing eddy advice anxiety severe depression eddy cant stand
acidulication, ye good hehe didnt steal anything stress anything uwu
lulbabybrax, love art amp modeling much never thought id get back falling depression deep
ImbiLoL, someone worst period depression year also ill say youll make throu
ImbiLoL, ptsd
wasteIandbaby, im gonna ask everyone get christmas way ill several defeat depression
Coach_Benj, seasonal depression let clarify brownsseason depression
limiteIess, hows life ok home hmm serious anxiety depression
destev01, robs gonna happy comes home dishes us depression ignoring
pamelajoon, usually nervous attacks also went ugly stage depression ca
pamelajoon, yo se los dije yo sabía ya se nos viene el desmadre bts
pamelajoon, te extrañaba tanto donde estabas bts
pamelajoon, btw ilu lt3 pcas bts thesong idol
pamelajoon, incredible announced like ppl shall know limits disappointing bts
pamelajoon, bts mpn btsarmy
pamelajoon, las 3am viendo vídeos memes de lytourindr2019 bts iheartradiommvas lytourindr2019
pamelajoon, bts lytourindr2019
pamelajoon, que jeviiiii bts lytourindr2019
pamelajoon, esa voy ser yo en uno meses si utede ayudan con el lytourindr2019 ht lystreamingparty bts lytourindr2019
pamelajoon, rtweer bts coming dr lytourindr2019 lytourindr2019
pamelajoon, traiganos bts ya ta bueno del alfa ozuna maluma ya tiempo de trae
Jayy_MC, much anxiety today please send much alcohol funnel throat thanks
ebilmeeki, know like shadow depression clinging like 500 lb weight fear
ebilmeeki, truly glad first suicide attempt 20 last one recent
ebilmeeki, im recovering trauma im raising transgender child one bigoted sta
ebilmeeki, rape almost 20 years ago still suffer ptsd social anxiety depression always
ebilmeeki, doesnt scream ptsd ptsd would leaving right happened longer
scarbear_, moment told something hurts someones feelings literally kind anxiety depression
scarbear_, try make something balanced clean people call ocd like want ever
rainbowovermeg, going depression also play orchestra concert today know im gonna panic attac
rainbowovermeg, well emo phase depressed little shit oops god bless surviving
rainbowovermeg, balancing finishing homework dealing anxiety
lightthouses, adaptação para minha pessoa crush depression autobiography
lightthouses, sei la jeito alguns fãs de bts diminuem pop ocidental eh diferente
choklityum, veterans arent ones suffering ptsd im trying minimize effects affec
choklityum, definitely deal depression anxiety ptsd along
choklityum, already dealing depression anxiety ptsd migraines
whitesideskiwi, would mean happiness everything suffering depression draining every
whitesideskiwi, depressed asf relate dm need anything
thekathleent, undersell feelings depression also ok loved minute let int
thekathleent, fun thing body depressed brain anxious dont notice brain
thekathleent, thought depressed realized time feeling get overwhelme
thekathleent, oh wait one thing youve depressed depressed considered suicide deservin
Codycar08689482, adhd aspergers syndrome anxiety undiagnosed bipolar behavior dispite disorder opposition
Codycar08689482, muppet jump 100 story window kermit suicide
Vanna5960, depressed mode deserves honorable mention lol blasphemous rumors personal jesus im big fan blasphemy
Vanna5960, narcissists know narcissists psychology today
_Born2BeFree, anxiety depression really high people kidnapped florida left right already dialys
BobTheBobCatt, anxiety aspergers amp depression symptoms havent diagnosed yet seeing therapi
BobTheBobCatt, fact males commit suicide 35x females prove hide due society tell
BobTheBobCatt, yeah anxiety time
kvz93, source anxiety tbh
AmyDresner, talk book take drug alcohol addiction
AmyDresner, agree addiction addiction tweeted science recently
AmyDresner, struggle addiction sex love porn highly recommend give listen read aloud pub
AmyDresner, oh sure addiction result depression selfmedicating etc
AlexisKampe, get point trying make school causes people stress time time stress
